#TICID     KICID
399793879 3424743
63129498 9588946
122446960 5095269
170652272 6310107
138893145 4758368
48451747 11751833
275488116 10014536
298969877 12351969
121941168 4914923
63126950 8560861
27646857 11038851
164457525 9632895
158555987 7515679
417679508 12603079
270698296 9592855
158794976 7023917
27396969 11769801
123231021 7582608
271424521 9899216
299218902 12009504
272606395 8702921
158324531 9821151
272599738 10417986
184089592 4761060
352013202 8938364
171882709 5821050
158321712 9760531
172422394 5738698
27186754 11512820
273373712 10091257
270616815 9159301
378088812 5197709
290035575 10858720
164413746 7662428
122507978 2010607
273690178 8644288
158387021 6848529
351194338 12317678
63070334 10665957
169458450 5034333
394179296 3228863
417678591 12158399
137152301 3953981
138888894 3558822
123357864 10187017
27308818 11920266
164654501 9202990
184008349 5803563
271166841 10148717
351058844 3236382
158725528 7673194
158985758 10005473
164552629 7422905
350738423 12257908
169175441 6462057
273036521 7976783
185060842 8848104
26541137 11403032
164833828 10259462
121789833 5438845
169183353 4769799
171972482 5990753
26960284 11033141
298787235 12350762
121457554 3633889
271347126 7373255
351194133 12218888
351054170 1870225
120629872 2692704
158216369 7018170
171878296 5130740
26749633 11031749
171030389 5733384
63373833 7755741
273234825 7303287
48216096 11229052
184416971 4076974
120251815 5513861
416266231 12155948
159577432 7750941
120890382 1996721
406947878 10661783
123230765 7799349
169461816 5812701
159441469 8427406
120960997 4246455
273042650 9418619
164670854 8737679
405684844 11392618
123450373 7939145
63366156 8235498
267747080 11911293
271773721 9474969
137152073 3850041
164889754 8351193
352010858 7591456
158272932 9880285
417676216 11135978
122447480 4831350
184090306 4938090
272177556 7622690
270698316 9592705
27456286 11719930
137098539 1431794
270789855 9775454
399826982 10910310
138430438 6449358
272489100 8112013
139157339 5802834
27778355 12366994
184087603 4175398
273374778 10355856
164557602 10518652
123361631 8539201
121731834 5866724
121327450 4248941
63368767 7284688
169181296 5296877
123202964 8408819
269034778 9178867
273048383 10420021
273875093 10553698
239276223 8912468
271958272 7542091
172376982 6072870
63363635 9220323
279916043 7016858
275574079 8957023
121465834 4999297
299158887 11554435
172877667 5398002
272078312 10350419
185060864 8848288
122300895 5094301
159726150 10338279
120315082 4035667
399825113 12004971
137347517 2162635
299032942 10789964
122784501 1161345
122224804 3438975
269267602 8714886
171510871 6470362
268380299 9851142
159387915 8881503
270520275 9026472
27397122 11820830
417676658 11295347
120626764 4729553
137550312 3547874
270517307 10079226
27186427 11408263
158559688 9333505
27778168 12316635
120962639 3219256
424814887 11713685
267745242 12646458
271040947 9777062
137549183 3120320
239290086 8587792
137975907 3241619
394179202 3335816
424865156 10666592
164670606 8935655
377781352 11548981
137408433 6285677
159442648 8025283
378090344 5715398
169561298 4770707
27395746 11409673
27773745 11200185
399867682 11498538
137151335 3544595
158728853 9210823
27914890 11255667
123201168 7090654
299153002 12154980
378086310 4377638
137152031 3850086
158731725 10527172
159172010 10006542
28227113 11623629
121395039 3431321
298969563 12253106
417656026 12306265
48031665 11013201
170735592 5817566
279918206 11391667
184010547 5113557
350812983 10964344
243272900 10965636
270704947 7369523
158316873 6933781
158414629 9821786
272176884 7766185
299029180 12253350
27913652 11569983
164647385 6756386
122068389 5869577
271347257 7373508
170348142 4862625
27767184 11922782
158664607 9702369
121327452 4249145
123447592 9753154
171971913 6071903
172424981 5308778
299219710 11708170
26538131 11029516
417676622 11295426
158420843 8288405
394172731 6198476
268486945 7708459
270696968 10016239
271763138 7541502
121460104 4999260
270619211 9955262
27843903 12418959
275575030 9345838
271046760 8036316
424814835 11763820
169078762 4768731
399954030 11342410
274031155 6889235
158317151 7103006
172769303 5397064
158731429 10396960
164523042 9264619
121124576 3429637
123496150 9447503
271426759 9226926
48305259 10779831
159386347 8685306
164670309 9139163
158491422 9579208
240178277 9893496
27685055 11822535
28083625 11925804
158412763 10394814
272281385 10417121
48189126 10711938
138429786 6370489
122707747 5530935
158170594 7877496
299161160 12506478
63449090 8302455
164552564 7422883
272071974 8700558
159098206 8424593
271547961 9959494
159054117 9825770
48304328 11122789
239233619 9489953
120638388 3527751
63366439 8167938
158485468 8678900
270700608 8823868
164778770 8350026
27846049 11823731
159107250 8424992
28359846 10815604
158988347 8878681
164558055 10191036
122213506 2845610
120365524 3424056
159376971 7603200
164673474 7013635
164530781 6668729
351799866 8073932
123357376 9812351
158393140 9394601
26418690 11296437
27843942 12418816
138968089 5716763
185059488 8590527
48418928 11494130
269121699 8056313
164832047 9204718
407001820 11081642
275489982 9221398
27911979 11973943
121022767 2285598
159580213 8751494
26419206 11506859
270701667 8435766
273376048 10616656
239233211 9612468
271967202 7765894
123230837 7730305
272280783 10612448
121535634 3330684
171502734 5217733
121212691 2697388
268930915 9048396
169467727 5982353
271254687 9656428
121939441 4048716
164722849 10258402
299156852 10724533
158322388 10129349
272079818 10481912
158660631 9641031
27993432 12122064
26748620 11404785
159580383 8816525
137341551 6123324
158725610 7744120
377780900 11854122
138893136 4758595
290035152 11027406
271426558 9289275
267748740 11241091
138642518 5108214
399819975 4446192
159762838 8752618
271165104 9595178
26961023 10735519
121327929 4548647
63448852 8168657
48448774 11337923
123357793 10119517
28231611 10934653
394177220 4255487
120043827 5341666
184419029 4672900
239291500 8262223
27388869 11969918
120422993 5344121
240177177 10473049
290033019 12011630
270615728 8758161
27239501 11196614
121729614 6032730
271877841 10480952
121108497 4996722
270854895 9654907
164778123 7943807
184015788 3561148
298897115 12105278
120821007 4995116
351064884 4562467
273038338 8382172
270786627 8694723
28085594 11414712
48305562 10961247
272607848 8379927
272839425 10155563
290033328 11861997
377912448 6293266
172422313 5738138
62916125 10664975
352010762 7510397
63291518 10536753
271548021 9959608
271256106 9225997
164654552 9202960
27533798 12167086
26418355 11189959
279918275 11444160
159652406 7115799
405687343 11180361
158838104 9944502
164456480 10517358
27006550 11967633
158839677 10592770
164522730 9071562
164409868 8213913
158213116 8872565
298969838 12351927
270706922 6698653
169456040 4489051
267990545 10879812
171095675 5988140
164729491 6757637
27397490 11970288
239235925 8912308
240180614 8888573
271969239 8245295
158632244 6679371
184427882 5807616
158989442 8423797
271881482 9414417
268605693 8054179
27914868 11255615
416267120 12507325
416280988 12255382
271040768 9837578
137319664 4057892
416267333 12600855
158726046 7950962
63129499 9588941
159176945 9016693
158215363 7668647
63451547 9220600
139155212 5287939
272275427 9230350
171100077 5304146
158221479 8940149
123417161 8345384
27686637 12266662
184296177 5027715
275488799 9713434
271547614 9839659
164883955 8150327
273236556 7702122
350812030 10859767
169466370 6306896
123199213 7500161
121107718 4732422
122714267 4833421
424815274 11559725
158496457 7880220
137488092 1724355
159513058 9339398
271664383 9163796
122452155 2571868
63129841 9771200
271966163 7542911
237158768 5597604
270608640 6611875
172423418 5567165
164890240 8675146
185287020 8332355
158168653 6674839
171098521 5562069
158273158 9760362
26540659 11244118
122376996 3641858
63211711 7529180
158273127 9760257
271164418 9349245
299087919 11656555
26816236 10734449
63211875 7446357
121020626 3836439
158318859 8153411
63071165 10274244
122066308 6116048
159305212 8228742
122683109 2987660
121022559 2557430
271544207 8827931
298966314 10853891
275575339 9468475
275490621 9025370
271969795 8442576
164668179 10454113
271668882 7970740
26960898 10801273
290032774 12157987
123413433 9812850
169458822 5122206
271432402 7692454
122680608 1571152
63454992 10602391
26584043 11244501
268383780 10686876
273377737 10224611
271256364 9162480
123309024 9932356
121456902 3223000
378083834 3557821
164725641 9203794
27082559 11868592
159098784 8159399
164414051 7940546
164554348 8607535
350987976 5598639
275493743 7756637
271047705 7760745
121123220 3733735
158631579 7021867
243272097 11445913
139034088 4277623
272943843 7548061
137483238 3852808
123446504 10516096
164524541 10322287
123314471 7417813
264508006 11046630
122713355 5184732
159723531 9341148
122139438 4829241
169458254 4946433
271538176 7129927
48131885 10959566
26657006 11714250
158839292 10462940
158487955 9942337
164463430 7505473
123199358 7335517
171512305 6233711
137218741 3545104
122065544 5698005
164726308 8738244
121600028 5949536
120823185 3629762
378088705 5197256
271545775 9289894
137482994 3956527
272842814 10222667
158983335 10068307
164644375 7341653
164652245 8478994
336403421 6497663
159767993 6862114
406948535 11026764
137211673 6442183
164554231 8542853
164649863 7664467
159761686 9153754
158173344 9392682
123129657 10513339
270954529 8695453
26474636 12258514
159050047 9520726
377782358 11018874
270958571 9957150
164410488 7871531
121658841 4736074
399912139 10911018
27188817 12165063
268482534 8454245
158389967 7879399
158172834 9076686
299096103 12689153
26417386 10860741
123317744 8006740
123234496 8006161
271261402 7691437
405685641 11018954
27390487 11461764
172372661 5308659
274031528 6804018
158488549 10198116
28233980 11572363
159302845 9150760
275489403 9468159
169819162 6145939
27647537 11253226
298897131 12105035
350987724 5769827
122063708 4738909
27236187 11143395
28308696 11098364
159048032 8682822
123229811 8408875
184469492 4581084
275577941 10603599
299028261 12644136
272279254 10285569
271883146 9033543
123313769 7868889
158421458 8154114
164525365 10322366
351803019 7584294
267673296 12555642
267748551 11293949
63449095 8302197
298966002 10657760
164414261 8078281
164554410 8607728
272720444 8703887
268058119 10294465
299159232 11707868
48189085 10647081
123450195 8076831
120251682 5342558
271044312 8760414
274127410 8451868
351052452 1296779
273589987 9726699
159171617 9826171
273371098 9480977
271661986 9779768
158662338 10526294
27533327 12069449
169556510 5727937
122447460 4831454
272279823 10482041
48131463 10711473
120893542 4245897
237190720 5939450
416267693 12783745
270619260 9955598
270608461 6697458
269119490 8456679
272843619 9964614
273778807 6803335
164781116 9696358
159767194 7199397
299219025 11959569
406998744 12405950
27389070 11920505
272945156 7219761
159573299 6859813
405688133 11600889
158491288 9579192
138961291 5286221
164884235 8013439
350810472 11454149
272074664 9353182
123229796 8408982
123495703 9693116
122139660 4740598
120422055 5942605
239309606 9117875
138960108 5022573
63009781 8165738
239272632 8057661
298969236 12105770
159176672 9083661
273501820 7385478
28449295 11099351
268380746 9970937
164459826 8146477
123125314 7335019
27911635 12072958
268711288 9365025
63126862 8561063
170246384 6147122
123446957 10188565
122782701 2158850
270951922 7897952
158785938 10200031
122519163 3542116
272719652 8509781
137549636 3345775
159225871 10070754
123129241 10185553
185058177 8264510
270864138 6699679
123206318 10514084
121865131 5177450
268382644 10425397
170246850 6228703
158277874 7102615
26417155 10730618
48506689 11125706
121866154 4737302
158725930 7881963
121325875 3431112
48450369 10963065
120761778 1701554
184089083 4576968
299088361 11808639
123452802 6753146
121213501 3221207
122064388 5091433
121395082 3329865
268610013 8841616
164785737 8738899
273043307 9602595
26597569 11192141
159580128 8751420
271882245 9228778
299218364 12254821
63129375 9588822
267671122 11658610
350810590 11401755
137483608 3749404
120823835 3218445
239311194 9552608
164729771 6585979
273035189 7700622
138637673 6371632
123446661 10385851
271042255 9410862
27766908 11972387
120892220 3427720
26964394 11766713
123130068 10383429
158316612 6762829
267672135 12059210
159577231 7680115
298968596 11808036
237191793 5077839
271040165 10081993
121019232 4640195
275491335 8692626
123445248 9933775
159717514 7198959
164557531 10583181
48353358 10905746
350813368 11126343
164722832 10258179
184555182 4284582
274127413 8451881
272600589 10155029
164458193 9201463
47976865 10841864
171971636 6153407
164557120 10453314
28449614 10991239
123317865 8143842
26597981 11351921
351910775 8804962
184998729 8129189
27531506 11515292
122303867 3640986
122680392 1430163
269031095 9913481
270856764 9028474
27639466 12216817
164461124 7177892
272841995 10485137
273594336 10291683
273131564 9724993
158272742 10000490
120765034 4039966
268606330 8190958
164527695 8801316
159444013 7523733
185336364 8462852
120576257 5943385
272609309 8043961
63452125 9406652
271538900 7374855
164781045 9635529
271769821 8505485
63291675 10601579
123416563 7938870
27686143 12119230
120576722 6187893
158490159 10130954
27006972 11818027
120495825 6106415
271253876 9898401
28230919 10748390
159647185 9020199
27187870 11869052
272489043 8112039
63120335 7201012
267749737 10857519
27083004 11717716
158112034 9514879
26749728 10977859
164784457 9451096
299088815 12008308
26656583 11560447
273583841 9108579
122226990 4459068
158275114 8677585
184947995 8718273
164888332 7590688
268302473 8189196
63074282 8953426
271671189 7375612
158113170 9206432
121329624 5520853
26815198 11140222
158216854 6675338
121083955 2696703
122375672 2985022
159169838 9083523
137482714 4059656
164646288 6669809
269123135 7918217
416282321 11709006
138431008 6291837
122683196 2987466
164670275 9139330
158423349 7741472
272846131 9356691
158412633 10459987
120577867 6188162
271667837 8244021
350739215 11913210
120571842 3323887
27007362 11665627
137687487 3448245
273132224 9541616
164782264 10389982
274127085 8386982
239225669 5206997
352011875 8219268
63368158 7530690
120764848 3938073
290034966 11081729
123416199 7661054
298784838 11182897
271427268 9098294
137219948 2990192
399860444 11446443
27846645 11671429
27006880 11817750
405685992 10849244
120495338 6426320
27232063 12018601
158324163 10001167
352010373 7265013
264509538 10685175
271047463 7830460
137091346 4922301
28229268 11043770
158276907 7669332
274120780 7060330
122684761 3643774
158422513 7948465
138037141 2860866
270855923 9286638
273782052 7387296
377782532 10848891
352010608 7345479
271669080 7902003
159580386 8816903
399827121 10850420
122598239 6039091
137306463 1868650
121277143 2697935
120764536 3730953
28231379 10877432
120637232 2692708
62916827 10339105
159390161 9338929
26539203 10665619
164724040 10124866
271355239 9898800
394176567 4554810
159578658 8231231
48504458 11495571
120578214 6026204
27769688 11253827
158271090 10195926
28159019 11673686
123198156 8210370
273684688 9788113
48304302 11122894
272272592 8507979
159220329 7885570
239306767 8459354
351193032 11924268
351909933 9329655
159107668 8554498
158791868 7517730
138638780 6292925
158491837 9395233
169814134 5123176
123449355 8605056
63120378 7201168
243271623 11652870
164458714 8866102
273685912 9543660
138639253 6131659
120963137 2834379
63007141 7033467
63075914 8233742
158321843 9821078
399954267 11499453
170251756 6387969
120499528 3936357
122142317 3437940
63006634 6863229
137815696 3347643
267666834 11649962
164415700 9002076
164558072 10191056
267746432 12156916
63072266 9770992
158488181 10001893
164674435 6670812
171968816 6471285
416280326 12555505
159306676 7677767
258203378 5511076
273130356 10026614
26962050 10979669
123444976 9752973
164677569 8737920
169081296 5383248
138098461 6447430
267673087 12457780
158276780 7740302
48448653 11390659
377780790 11904151
243271721 11601532
137627224 5962180
158936104 9764544
271424481 9899181
271539287 7457163
121276944 2837475
164458426 9071386
416528957 10818544
271160644 8241074
159763936 8364751
27845490 11973095
138726174 5458880
164833847 10259530
378089068 5285607
272720042 8574377
351055073 2162283
159441005 8621290
184164428 4850874
164886585 6504534
274024023 8386865
120424803 4242459
27773743 11200191
272495976 9782810
27687095 12417370
27395062 11197632
158211186 9940582
27006137 12066007
48216980 10712276
158787519 9457728
137099260 1026957
27776588 11923356
138643015 4932675
159650513 7820535
48217945 11229131
121393780 4144236
405685900 10909274
27457630 11357658
272281140 10482869
120424856 4242575
272074946 9475874
121463130 6353203
273130555 9965715
171093035 6469154
63208546 8754603
121791946 5867378
123357952 10253421
275489439 9468214
184468466 4853412
170344769 5473556
271253484 10018963
272280786 10612424
164670299 9139151
159644241 10139564
240178198 9953894
270705470 7206837
272599063 10613255
298970256 12553408
122300184 5357446
27188070 11968730
121108244 4909422
123408988 6923148
299028948 12352180
122682776 2711114
271253119 10082904
123414877 6752578
120891206 2694741
139106096 4173772
164669854 9389245
122603719 4743626
275494921 7286531
267667621 11231334
137342344 6442336
273038330 8382182
123201494 7335713
27455414 11970773
299159078 11657118
121215343 4248433
164890208 8610483
121460929 5436582
120684977 4818496
268160366 7983117
164529980 7260381
121468154 3735871
27915909 10987439
399827809 10966212
27533666 12167361
